KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
1932.5	3487	83.855	205.5	83.81	25.272	354.25	9.11	0	282.5	420	79	1571.5	76	3859	2261	25.17	21.2335	615	10.125	1.17	56.3	3.25	600.5	2931.5	288	12	0	2688.475	1.714	0.4105	0.5735	0.3085	0.007	0.0685	0.0115
2294.5	5360	78.73	165.5	114.035	34.199	400.9	8.985	0	320.5	436.5	65.5	1304	97.5	5629.5	906	10.8	34.9095	380	9.115	0	103.4	24.95	755.5	2631.5	18.5	0	0	1976.675	2.857	0.6285	0.7225	1.3165	0.128	0.717	0.1195
2544	6913	71.54	488	117.22	24.94	434.15	12.315	0	135.5	352	797.5	2170	10.5	460	636	21.16	29.871	641.5	19.94	0	35.3	1.25	672	3625.5	179.5	14	0	1982.395	2.521	0.444	0.4765	0.4165	0.014	0.0315	0.032
2365.5	3711	129.115	225	113.29	39.8265	263.55	27.435	9.23	353	753	263.5	4641.5	46	18	5276	19.74	46.7585	1188	16.93	5.76	169.45	1.75	1132	2545	44.5	15	0	3592.22	2.042	0.499	1.7335	0.343	0.0175	0.0145	0.012
1414.5	2231	77.175	112	57.265	12.3955	221.15	3.82	0	248.5	283.5	21	381	16	1423	696	7.615	12.6855	320.5	6.04	0	16.65	3.3	811.5	1506.5	47	30.5	0	843.33	2.7525	0.6815	0.7225	0.1325	0.0085	0.0145	0.0135
524	142	58.275	0	26.675	5.1705	125.7	4.615	4.615	475.5	475.5	0	0	0	0	0	7.865	5.5	133.5	4.195	1.745	52.15	7.75	350.5	564.5	0	0	0	681.455	1.04	0.297	2.3705	0.0705	0	0.0705	0
542.5	1179	37.68	41.5	22.43	5.0385	97.55	1.285	0	86.5	89.5	0	33	5	0	142	2.47	6.226	88.5	2.28	0	0.05	1.5	352	651	62.5	12.5	0	1628.585	0.651	0.1645	0.183	0.082	0.001	0.009	0.011
1658.5	3361.5	35.94	115	87.435	26.82	289.1	15.87	7.2	388.5	450.5	23.5	696	47.5	2087.5	966.5	10.69	29.7435	235	13.655	1.26	115.6	1.2	598.5	1986	25	29.5	0	2803.655	1.2945	0.208	0.755	0.3575	0.009	0.017	0.02
1390	1425	119.91	168.5	47.25	14.3745	277.2	4.78	0	241	323	107	845	183.5	1791	841	7.805	16.3005	205	4.88	0	156.5	15.6	580.5	2873.5	74	60.5	0	1935.445	0.9875	0.1795	0.2005	0.5885	0.062	0.375	0.0525
1071	903.5	76.34	282	20.505	7.388	110.85	7.695	2.495	30.5	737.5	139	8388.5	31	1140	11289.5	10.71	9.8995	300	5.2	0	173.35	0.1	793	2713.5	67	0	0	2384.39	0.2555	0.0785	0.09	0.059	0.0025	0.001	0.0015
1159	1755	75.555	98.5	45.7	10.6335	125.6	4.665	0.1	281	289.5	14	60.5	41.5	551.5	370	10.8	16.4195	347	5.705	1.48	152.5	3.5	666.5	1444.5	0	0	0	920.885	1.0895	0.228	0.3705	0.2065	0.0365	0.0045	0.012
