PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
2685.5	481.71	28.85	141.57	45.3475	819.8	26.685	0.595	1219	110.5	997.5	133.5	3918.5	1322.5	26.28	3.556	33.5595	1091	470	3.775	214.8	12.9	2167.5	542	7263	4085.5	214.65	1.5	37.5	24.15	3461.51	4.0435	0.9375	1.697	0.4675	0.0185	3.649	5e-04	0.098
2073	277.355	33.05	128.605	39.2115	762.2	13.195	0	719.5	196.5	1288	182	6266	1456	21.82	3.14	36.8875	789	396	2	76.55	8.4	1040.5	434.5	3909	4240.5	154.35	197.5	87.5	12.35	2212.435	2.1145	1.096	2.0135	0.5605	0.01	2.4255	5e-04	0.1065
693	145.265	20.15	42.74	10.7075	209.5	6.135	0	484	707.5	4085.5	51.5	3180.5	3091.5	9.87	1.091	9.63	319.5	263	0	94.1	1	375.5	240.5	2030	2094.5	48.8	16.5	0	0	2547.09	0.834	0.3425	0.3695	0.123	0.0015	1.4885	0	0.013
1190.5	137.74	11.55	61.155	21.2775	526.15	7.815	4.01	345	165	452.5	45	2392	1239.5	8.645	2.064	29.8195	166.5	144.5	0	74.2	3.9	464.5	235.5	2255	2181	122.15	283	30.5	7.3	2034.37	1.4565	1.961	1.625	0.169	0.004	0.9745	0.057	0.0825
861.5	194.73	10.45	73.74	26.057	270.95	7.83	0	313	555	1509.5	92.5	5217	634.5	7.28	3.178	40.244	214.5	140.5	6.375	109.8	0.6	458	256.5	2692	2178	82.65	101	27	0	2646.185	2.642	2.996	1.2845	0.25	0.0105	0.9445	0.0015	0.004
1300	88.96	11.35	86.02	22.9015	405.25	7.975	0	207	109	230	3	1.5	254	9.775	1.7125	20.674	333	192.5	0	50.1	2.8	557	223	3179.5	1981.5	120.65	173.5	5	0	2100.77	1.397	0.6745	1.8415	0.4235	0.0215	3.1455	0.002	0.03
1286.5	196.565	13.05	73.74	26.6095	313.65	5.925	0	758.5	233.5	3606.5	127	3333	6668	9.96	1.7115	16.6695	332	183.5	0	105.6	5.45	987.5	244.5	3645	2136.5	102.7	13.5	2.5	0	2611.04	2.862	0.6655	1.2905	0.1375	0.0045	1.213	0.001	0.0445
972	191.14	20.1	71.63	22.5105	309.35	6.35	0	511.5	805	2185	59.5	6647	874	15.88	1.511	23.7385	384.5	122	2.395	59.4	3.55	688	229	3221.5	2344.5	79.05	0	0	0	2564.89	1.242	2.343	0.79	0.2465	0.036	2.2165	0.0015	0.017
832.5	146.74	13.35	78.515	19.3135	233.15	10.83	0	450	1063	2892.5	71	1389.5	864	10.22	1.2235	14.1695	303.5	142	0	27.55	2.9	480	255	2698.5	1622.5	149.15	79.5	88.5	0	1740.26	1.0615	0.423	0.576	0.219	0.0105	1.979	0.0025	0.1305
1917	198.195	13.5	149.62	40.9065	339.45	10.275	0	191.5	51.5	125.5	4.5	0	141.5	13.645	7.276	96.686	346	140.5	18.565	21.2	1.25	384.5	254	5510	2568.5	125.25	381	0	0	3262.47	2.266	2.536	1.596	0.711	0.0495	3.92	0.0015	0.012
