F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
0	0.59295	0	0.59295	0.1396125	0.1720625	0.0191625	1.1025	1.1025	0.1021875	1.5163625	0	2.727825	5.7515875	0.6764	2.14435	0	0	0	0	3.75015	0.9294	0	0	0.0228	0	0.2068	0.2296	7.59175	10.1643	3.199875	0
0	0.41405	0	0.41405	1.625695	0.3592725	0.1972975	0.0975	0	0.7581315	2.840599	1.2167505	0	4.5721375	2.3048	0	0	2.339625	0.701675	1.2138	6.9524995	0.026775	0	0.3658245	0.0912	0	0.018356	0.109556	27.6641245	11.231343	4.352304	2.0595
0	0	0	0	0	0.028318	0.007999	0	0	2.044507	2.072825	0	2.6391035	6.6458665	7.94265	2.652654	0	1.7827695	0	0.897396	13.763156	0.4876865	0	0	0.1088775	0	2.0730495	2.181927	43.7469275	69.4464175	3.952703	0
0	0.3953	0	0.3953	0.608685	1.058625	0.037275	1.856256	0	0.668823	4.192389	0	3.12925	9.94164	7.7409	1.03125	0	0	0.1784925	0.539444	10.92305	1.0137635	0	0.4192	0.08232	0	0.25875	0.34107	54.153186	59.883242	29.195973	0
0.3537	1.1094625	0	1.4631625	1.456851	0.51323	0.20828	0	0	1.0939595	3.0640405	0	0	0.5325	10.205457	1.102482	0	0	0	0	16.6811695	4.130668	0	1.2425625	0.269139	0	0.59925	0.868389	28.592383	46.968476	13.570805	0.456
0	0	0	0	0	0.0165	0	1.0395	0	0.248	1.304	0	0	3.3919	6.22965	3.181412	0	2.31	0	0	13.50175	0.001934	0	1.77875	1.0004	0	0.300927	1.301327	17.30085	15.90715	2.010572	4.646592
0	0	0	0	0	0.13494	0	0.2625	0	0	0.39744	1.848678	1.559439	4.463239	3.04515	3.4242	0	0	1.2495	0	9.22395	1.5051	0	0	1.706816	0	0.0126	1.719416	23.51201	36.45175	6.823113	2.4525
0	0.1275	0	0.1275	0.004995	0.590157	0.590157	0.170625	0	0.5183	1.284077	2.64495	2.83091	4.717892	0	0	0	0	0	0	0.615971	0	0	0.615971	1.348	0	2.03375	3.404225	18.57503	33.40266	7.231573	4.7562
0.247086	1.238511	0	1.485597	0.0204975	1.122986	0	0.0126	0	1.000843	2.156927	2.176473	0	11.36793	1.726425	0.85525	0	0.5565	0	0	4.986375	1.5762	0	0.272	1.950587	0	0.207	2.226888	26.61135	70.66845	36.41561	0
0.16225	0	0.483	0.64525	0.443625	0.580902	0.470925	0.263725	0.263725	0.172576	1.460828	0.92565	0.089175	4.506353	4.610432	0.2471	0	2.353838	0	2.439619	10.01005	0.359057	0	0	0.6565125	0	0.185325	0.8418375	31.67302	9.906437	1.728231	1.449
